Full Address,Name,Latitude,Longitude
"123-25 East 102 St ,Manhattan,  New York ","123-25 East 102 St , Manhattan,  New York ",40.7900585,-73.9484502
"1230 Boston Road, Bronx,  New York ","1230 Boston Road , Bronx,  New York ",40.8301919,-73.9011454
"1230-32-34 Spofford Avenue, Bronx,  New York ","1230-32-34 Spofford Avenue , Bronx,  New York ",40.8137483,-73.8895349
"124 East 102 Street ,Manhattan,  New York ","124 East 102 Street , Manhattan,  New York ",40.7896979,-73.9486679
"124 South 3 St , Brooklyn, ,  New York ","124 South 3 St , Brooklyn,  New York ",40.712483,-73.9628486
"125 East 101 St ,Manhattan,  New York ","125 East 101 St , Manhattan,  New York ",40.7894994,-73.9491249
"125 Schnectady Avenue , Brooklyn, ,  New York ","125 Schnectady Avenue , Brooklyn,  New York ",40.6747637,-73.9330655
"127 Guernsey St , Brooklyn, ,  New York ","127 Guernsey St , Brooklyn,  New York ",40.7252371,-73.9538722
"127 West 133 Street ,Manhattan,  New York ","127 West 133 Street , Manhattan,  New York ",40.8135013,-73.9429387
"128 29th Street , Brooklyn, ,  New York ","128 29th Street , Brooklyn,  New York ",40.658989,-74.0019728
"128 Rivington/131 Norfolk St ,Manhattan,  New York ","128 Rivington/131 Norfolk St , Manhattan,  New York ",40.719347,-73.986687
"128-30 West 138 St ,Manhattan,  New York ","128-30 West 138 St , Manhattan,  New York ",40.8165004,-73.9411037
"128-32 Eldridge St ,Manhattan,  New York ","128-32 Eldridge St , Manhattan,  New York ",40.7187204,-73.9915381
"1281 St Johns Place , Brooklyn, ,  New York ","1281 St Johns Place , Brooklyn,  New York ",40.6711223,-73.9357396
"129 MacDonough Street , Brooklyn, ,  New York ","129 MacDonough Street , Brooklyn,  New York ",40.6815294,-73.9411177
"129-31 Bedford Ave , Brooklyn, ,  New York ","129-31 Bedford Ave , Brooklyn,  New York ",40.7192654,-73.9559518
"129-31 East 102 Street ,Manhattan,  New York ","129-31 East 102 Street , Manhattan,  New York ",40.78987,-73.9483335
"129-35 Ridge Street ,Manhattan,  New York ","129-35 Ridge Street , Manhattan,  New York ",40.719648,-73.9829587
"1290 Lafayette Ave, Bronx,  New York ","1290 Lafayette Ave , Bronx,  New York ",40.8165446,-73.8874092
"1299-1303 Dean Street , Brooklyn, ,  New York ","1299-1303 Dean Street , Brooklyn,  New York ",40.676898,-73.9459058
"13 Scholes St , Brooklyn, ,  New York ","13 Scholes St , Brooklyn,  New York ",40.708279,-73.9499878
"13-15 Strong Place , Brooklyn, ,  New York ","13-15 Strong Place , Brooklyn,  New York ",40.6859083,-73.9973933
"130 West 26th Street ,Manhattan,  New York ","130 West 26th Street , Manhattan,  New York ",40.7451733,-73.9928582
"1304 Pacific Street , Brooklyn, ,  New York ","1304 Pacific Street , Brooklyn,  New York ",40.6773157,-73.9476056
"131 EAST ,Manhattan,  New York ","131 EAST , Manhattan,  New York ",40.8090648,-73.9367774
"1312 Pacific St , Brooklyn, ,  New York ","1312 Pacific St , Brooklyn,  New York ",40.6773205,-73.9473394
"1314 Oakley Street, Bronx,  New York ","1314 Oakley Street , Bronx,  New York ",40.878529,-73.8524681
"1316 STERLING PLACE , Brooklyn, ,  New York ","1316 STERLING PLACE , Brooklyn,  New York ",40.671491,-73.9350517
"132 West 113 Street ,Manhattan,  New York ","132 West 113 Street , Manhattan,  New York ",40.8006744,-73.9529862
"132 West 169 Street, Bronx,  New York ","132 West 169 Street , Bronx,  New York ",40.8399454,-73.9247122
"133 MacDonough Street , Brooklyn, ,  New York ","133 MacDonough Street , Brooklyn,  New York ",40.681543,-73.9410207
"133 West 89 St ,Manhattan,  New York ","133 West 89 St , Manhattan,  New York ",40.7893138,-73.9723443
"133-41 West 140 St ,Manhattan,  New York ","133-41 West 140 St , Manhattan,  New York ",40.8178093,-73.9391738
"134 Eldridge St ,Manhattan,  New York ","134 Eldridge St , Manhattan,  New York ",40.7188821,-73.9913802
"134 West 113 Street ,Manhattan,  New York ","134 West 113 Street , Manhattan,  New York ",40.8007048,-73.9530644
"134 West 20th Street ,Manhattan,  New York ","134 West 20th Street , Manhattan,  New York ",40.7415689,-73.9957893
"134-36 Cambridge Place , Brooklyn, ,  New York ","134-36 Cambridge Place , Brooklyn,  New York ",40.6833257,-73.9630445
"1346 Eastern Parkway , Brooklyn, ,  New York ","1346 Eastern Parkway , Brooklyn,  New York ",40.6679066,-73.92372
"1346 Park Place , Brooklyn, ,  New York ","1346 Park Place , Brooklyn,  New York ",40.6723825,-73.9329684
"1347 Bristow St, Bronx,  New York ","1347 Bristow St , Bronx,  New York ",40.8319427,-73.8950598
"135 West 89 St ,Manhattan,  New York ","135 West 89 St , Manhattan,  New York ",40.789357,-73.9724042
"135-37 West 115 St ,Manhattan,  New York ","135-37 West 115 St , Manhattan,  New York ",40.8022856,-73.9519989
"136 NOW UNITED, Bronx,  New York ","136 NOW UNITED , Bronx,  New York ",40.8062684,-73.9201724
"136 West 133 St ,Manhattan,  New York ","136 West 133 St , Manhattan,  New York ",40.8132036,-73.943236
"137 Keap Street , Brooklyn, ,  New York ","137 Keap Street , Brooklyn,  New York ",40.7043011,-73.9601723
"137-39 West 116 St ,Manhattan,  New York ","137-39 West 116 St , Manhattan,  New York ",40.8029506,-73.9511736
"1372 Franklin Avenue, Bronx,  New York ","1372 Franklin Avenue , Bronx,  New York ",40.8333669,-73.9003548
"1372 Shakespeare Ave, Bronx,  New York ","1372 Shakespeare Ave , Bronx,  New York ",40.8412247,-73.9216103
"138 East 98 Street ,Manhattan,  New York ","138 East 98 Street , Manhattan,  New York ",40.7869477,-73.9497954
"1383 Plimpton Ave, Bronx,  New York ","1383 Plimpton Ave , Bronx,  New York ",40.8423705,-73.9234444
"1387 Dean St , Brooklyn, ,  New York ","1387 Dean St , Brooklyn,  New York ",40.6767336,-73.9427097
"14 East 96 Street , Brooklyn, ,  New York ","14 East 96 Street , Brooklyn,  New York ",40.6650206,-73.9262489
"14 Morningside Ave ,Manhattan,  New York ","14 Morningside Ave , Manhattan,  New York ",40.8049045,-73.9580705
"14 West 119 St ,Manhattan,  New York ","14 West 119 St , Manhattan,  New York ",40.802842,-73.9458486
"14-15 Mott Avenue , Queens,  New York ",14-15 Mott Avenue  Queens New York ,40.6011809,-73.7483589
"1405 Prospect Place , Brooklyn, ,  New York ","1405 Prospect Place , Brooklyn,  New York ",40.6733835,-73.9300041
"141 Attorney St ,Manhattan,  New York ","141 Attorney St , Manhattan,  New York ",40.7198709,-73.9837983
"141 MacDonough Street , Brooklyn, ,  New York ","141 MacDonough Street , Brooklyn,  New York ",40.6815502,-73.9408276
"143-45 Wadsworth Avenue ,Manhattan,  New York ","143-45 Wadsworth Avenue , Manhattan,  New York ",40.849272,-73.9350662
"145-47 West 105 Street ,Manhattan,  New York ","145-47 West 105 Street , Manhattan,  New York ",40.7981051,-73.9617565
"145-57 Morningside Avenue ,Manhattan,  New York ","145-57 Morningside Avenue , Manhattan,  New York ",40.8081796,-73.9559692
"1463 Amsterdam Ave ,Manhattan,   New York ","1463 Amsterdam Ave , Manhattan,   New York ",40.8169654,-73.9532671
"1486 Fifth Ave ,Manhattan,   New York ","1486 Fifth Ave , Manhattan,   New York ",40.8029316,-73.9451062
"149-51 Grand Street ,Manhattan,  New York ","149-51 Grand Street , Manhattan,  New York ",40.7222838,-74.0039031
"149-51 South 4 Street , Brooklyn, ,  New York ","149-51 South 4 Street , Brooklyn,  New York ",40.711716,-73.9621261
"1493 Eastern Parkway , Brooklyn, ,  New York ","1493 Eastern Parkway , Brooklyn,  New York ",40.6702885,-73.918582
"15 East 126 St ,Manhattan,  New York ","15 East 126 St , Manhattan,  New York ",40.8069757,-73.9408552
"15 Fort Washington Ave ,Manhattan,  New York ","15 Fort Washington Ave , Manhattan,  New York ",40.835546,-73.9448891
"1500 Boston Road, Bronx,  New York ","1500 Boston Road , Bronx,  New York ",40.8351552,-73.8934056
"1508 Amsterdam Ave,Manhattan,  New York ","1508 Amsterdam Ave, Manhattan,  New York ",40.8186709,-73.9527694
"151 Eagle Street , Brooklyn, ,  New York ","151 Eagle Street , Brooklyn,  New York ",40.7353548,-73.9546552
"151 First Avenue ,Manhattan,  New York ","151 First Avenue , Manhattan,  New York ",40.72854,-73.9850071
"1511 Lexington Ave ,Manhattan,  New York ","1511 Lexington Ave , Manhattan,  New York ",40.7867958,-73.9499685
"1513 Lexington Ave ,Manhattan,  New York ","1513 Lexington Ave , Manhattan,  New York ",40.786856,-73.9499255
"1513-15 West 7th Street , Brooklyn, ,  New York ","1513-15 West 7th Street , Brooklyn,  New York ",40.6101289,-73.9809999
"1516 Bedford Avenue , Brooklyn, ,  New York ","1516 Bedford Avenue , Brooklyn,  New York ",40.67152,-73.955064
"152 East 116 St Tenant Assoc,Manhattan,  New York ","152 East 116 St Tenant Assoc, Manhattan,  New York ",40.7983131,-73.9415536
"152 Forsyth St ,Manhattan,  New York ","152 Forsyth St , Manhattan,  New York ",40.7204821,-73.9915009
"152 West 144 St ,Manhattan,  New York ","152 West 144 St , Manhattan,  New York ",40.8204035,-73.9387146
"1527 Lincoln Place , Brooklyn, ,  New York ","1527 Lincoln Place , Brooklyn,  New York ",40.6696896,-73.9260707
"153 1/2 Stanton Street ,Manhattan,  New York ","153 1/2 Stanton Street , Manhattan,  New York ",40.7203098,-73.9850718
"153 South 4 Street , Brooklyn, ,  New York ","153 South 4 Street , Brooklyn,  New York ",40.711735,-73.9620442
"154 East 97 St ,Manhattan,  New York ","154 East 97 St , Manhattan,  New York ",40.7860598,-73.9497378
"154-6 South 3 Street , Brooklyn, ,  New York ","154-6 South 3 Street , Brooklyn,  New York ",40.712002,-73.961825
"155 Avenue C ,Manhattan,  New York ","155 Avenue C , Manhattan,  New York ",40.7257725,-73.9779517
"155 East 2 St ,Manhattan,  New York ","155 East 2 St , Manhattan,  New York ",40.7226132,-73.9854593
"155 Hope Street Partnership, Brooklyn, ,  New York ","155 Hope Street Partnership, Brooklyn,  New York ",40.7119804,-73.9519082
"1551 Park Place , Brooklyn, ,  New York ","1551 Park Place , Brooklyn,  New York ",40.6723601,-73.925992
"1555 Seabury Place, Bronx,  New York ","1555 Seabury Place , Bronx,  New York ",40.8354744,-73.8911847
"156 East 97 St ,Manhattan,  New York ","156 East 97 St , Manhattan,  New York ",40.786025,-73.9496578
"156 St. Marks Avenue , Brooklyn, ,  New York ","156 St. Marks Avenue , Brooklyn,  New York ",40.6788281,-73.971347
"157 East 2 Street ,Manhattan,  New York ","157 East 2 Street , Manhattan,  New York ",40.7225638,-73.9852532
"157 West 120th Street ,Manhattan,  New York ","157 West 120th Street , Manhattan,  New York ",40.8057082,-73.9499996
"157 West 123rd Street ,Manhattan,  New York ","157 West 123rd Street , Manhattan,  New York ",40.8075857,-73.9486765
"157-61 West 105 Street ,Manhattan,  New York ","157-61 West 105 Street , Manhattan,  New York ",40.7996349,-73.9653485
"1580 Amsterdam Ave ,Manhattan,  New York ","1580 Amsterdam Ave , Manhattan,  New York ",40.821224,-73.9509758
"16 Maujer Street , Brooklyn, ,  New York ","16 Maujer Street , Brooklyn,  New York ",40.7101059,-73.9501708
"16 Morningside Ave ,Manhattan,  New York ","16 Morningside Ave , Manhattan,  New York ",40.8051519,-73.9580475
"16-18 West 119 Street ,Manhattan,  New York ","16-18 West 119 Street , Manhattan,  New York ",40.8028882,-73.9459536
"160 Bleecker Street ,Manhattan,  New York ","160 Bleecker Street , Manhattan,  New York ",40.7284664,-74.0002081
"160-64 East 2 Street ,Manhattan,  New York ","160-64 East 2 Street , Manhattan,  New York ",40.7229004,-73.9851346
"1600 Nelson Avenue, Bronx,  New York ","1600 Nelson Avenue , Bronx,  New York ",40.846339,-73.919095
"1608-10 Amsterdam Ave ,Manhattan,  New York ","1608-10 Amsterdam Ave , Manhattan,  New York ",40.8217389,-73.9503784
"1611 Lincoln Place , Brooklyn, ,  New York ","1611 Lincoln Place , Brooklyn,  New York ",40.6694992,-73.9232687
"162-68 Lenox Ave ,Manhattan,  New York ","162-68 Lenox Ave , Manhattan,  New York ",40.8034454,-73.9483144
"163 Lefferts Place , Brooklyn, ,  New York ","163 Lefferts Place , Brooklyn,  New York ",40.6807939,-73.9570838
"163 Lenox Ave ,Manhattan,  New York ","163 Lenox Ave , Manhattan,  New York ",40.803628,-73.948843
"164 Ralph Avenue , Brooklyn, ,  New York ","164 Ralph Avenue , Brooklyn,  New York ",40.6843427,-73.9231379
"1646 Amsterdam Avenue ,Manhattan,   New York ","1646 Amsterdam Avenue , Manhattan,   New York ",40.8230439,-73.9495949
"165-167-169 Ave C ,Manhattan,   New York ","165-167-169 Ave C , Manhattan,   New York ",40.7261508,-73.977697
"166 West 122 St ,Manhattan,  New York ","166 West 122 St , Manhattan,  New York ",40.8067815,-73.9494132
"166-68-70 Mulberry St ,Manhattan,  New York ","166-68-70 Mulberry St , Manhattan,  New York ",40.7197447,-73.9970214
"167 West 129 ,Manhattan,  New York ","167 West 129 , Manhattan,  New York ",40.8114408,-73.9460473
"167 West 133 St ,Manhattan,  New York ","167 West 133 St , Manhattan,  New York ",40.8139074,-73.9438615
"167-69 Allen Street ,Manhattan,  New York ","167-69 Allen Street , Manhattan,  New York ",40.7213192,-73.9896527
"167-75 Havemeyer Street , Brooklyn, ,  New York ","167-75 Havemeyer Street , Brooklyn,  New York ",40.7109875,-73.9577649
"168 Norfolk Street ,Manhattan,  New York ","168 Norfolk Street , Manhattan,  New York ",40.7209816,-73.9858527
"17 Clinton St ,Manhattan,  New York ","17 Clinton St , Manhattan,  New York ",40.7208364,-73.9843415
"17 Pennsylvania Avenue ,Manhattan,  New York ","17 Pennsylvania Avenue , Manhattan,  New York ",40.677793,-73.897001
"17-19 West 108 Street ,Manhattan,  New York ","17-19 West 108 Street , Manhattan,  New York ",40.79997,-73.960161
"170 West 85 Street ,Manhattan,  New York ","170 West 85 Street , Manhattan,  New York ",40.7867652,-73.9753353
"1711 Davidson Avenue, Bronx,  New York ","1711 Davidson Avenue , Bronx,  New York ",40.8473888,-73.9140217
"1711-1723 Townsend Ave, Bronx,  New York ","1711-1723 Townsend Ave , Bronx,  New York ",40.846739,-73.912191
"1715 Nelson Avenue, Bronx,  New York ","1715 Nelson Avenue , Bronx,  New York ",40.8486801,-73.9167059
"172 Delancey St ,Manhattan,  New York ","172 Delancey St , Manhattan,  New York ",40.7178535,-73.9851679
"172 Forsyth St ,Manhattan,  New York ","172 Forsyth St , Manhattan,  New York ",40.721322,-73.9910607
"172 Franklin Street , Brooklyn, ,  New York ","172 Franklin Street , Brooklyn,  New York ",40.7310912,-73.9575646
