"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1980",36047023800,15105.99989,"21.11","97.07","0.08",3926.999971
"1980",36047024000,13931.00019,"20.23","92.99","0.35",4281.00006
"1980",36047024100,6875.000019,"20.28","2.94","70.23",1431.000004
"1980",36047024200,14456.99996,"36.57","94.88","0.04",2579.999993
"1980",36047024300,6425,"16.16","0.67","94.92",3113
"1980",36047024400,16601.00025,"39.88","95.73","0.07",2672.00004
"1980",36047024500,5231.000032,"14.75","0.25","96.60",3532.000021
"1980",36047024600,17959.51008,"49.37","97.49","0.14",2886.22118
"1980",36047024700,6197.999931,"10.21","0.79","96.32",2146.999976
"1980",36047024800,12132.00001,"35.43","94.16","0.00",2210.000002
"1980",36047024900,9045,"11.06","0.34","96.96",3843
"1980",36047025000,13437.99993,"46.58","94.20","0.17",1189.999994
"1980",36047025100,6921.000103,"8.18","0.25","96.46",3168.000047
"1980",36047025200,12474.00014,"22.51","92.46","0.08",3914.000044
"1980",36047025300,6638.999975,"20.85","1.03","84.81",2230.999992
"1980",36047025400,15110.00005,"36.60","93.15","0.07",3037.00001
"1980",36047025500,7834.999766,"0.58","0.28","80.72",6103.999818
"1980",36047025600,14756.00004,"42.59","94.21","0.00",2692.000008
"1980",36047025700,8055.999958,"7.48","1.70","10.27",1236.999994
"1980",36047025800,14125.00011,"24.35","92.12","0.49",4100.000031
"1980",36047025901,8324.000124,"12.77","1.70","43.40",1645.000025
"1980",36047025902,7035,"0.39","0.66","70.97",4068
"1980",36047026000,15886.99986,"37.69","96.82","0.00",3079.999973
"1980",36047026100,6880.000051,"14.65","0.76","61.50",4223.000031
"1980",36047026200,15847.00013,"49.36","92.14","0.09",2162.000018
"1980",36047026300,8622.999759,"17.64","0.95","92.37",1887.999947
"1980",36047026400,11650.99978,"28.82","95.28","0.05",3856.999927
"1980",36047026500,8203,"13.51","1.00","95.90",3491
"1980",36047026600,15323.00011,"37.04","95.00","0.06",3342.000025
"1980",36047026700,6960.999948,"18.95","0.43","96.81",3954.999971
"1980",36047026800,14005.99979,"29.85","94.43","0.23",3968.999941
"1980",36047026900,7442.999945,"16.58","0.17","96.83",2332.999983
