"Address","Type","Neighborhood","Year Built"
"1719 TOWNSEND AVENUE","Income-restricted, HDFC",NA,NA
"172 DELANCEY STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"172 FORSYTH STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"172 FRANKLIN STREET","Income-restricted, HDFC",NA,NA
"1720 MAYFLOWER AVENUE","Limited-equity, Mitchell Lama","SCHUYLERVILLE/PELHAM BAY",NA
"173 EAST 111 STREET","Income-restricted, HDFC",NA,NA
"173 RIVINGTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"1731 TOWNSEND AVENUE","Income-restricted, HDFC",NA,NA
"175 CLAREMONT AVENUE","Income-restricted, HDFC","MORNINGSIDE HEIGHTS",NA
"175 SOUTH SWAN STREET ALBANY","Limited-equity",NA,NA
"176 GRAND STREET EXTENSION","Income-restricted, HDFC",NA,NA
"176 STUYVESANT AVENUE","Income-restricted, HDFC",NA,NA
"176 WEST 81 STREET","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"1770 WALTON AVENUE","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"1775 MADISON AVENUE","Income-restricted, HDFC","HARLEM-EAST",NA
"1776 TOPPING AVENUE","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"1777 MADISON AVENUE","Income-restricted, HDFC","HARLEM-EAST",NA
"1779 2ND AVE","Limited-equity, Mitchell Lama",NA,NA
"1779 MADISON AVENUE","Income-restricted, HDFC","HARLEM-EAST",NA
"178 WEST 81 STREET","Income-restricted, HDFC",NA,NA
"1794 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"18 EAST 132 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"180 EAST 104 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"180 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
