"Address","Type","Neighborhood","Year Built"
"639 PRESIDENT STREET","Income-restricted, HDFC",NA,NA
"64 AVENUE C","Income-restricted, HDFC","ALPHABET CITY",NA
"64 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"64 HAVEMEYER STREET","Income-restricted, HDFC",NA,NA
"642 WASHINGTON STREET","Income-restricted, HDFC",NA,NA
"6430 HOPE CIR WOLCOTT","Limited-equity",NA,NA
"645 BARRETTO STREET","Income-restricted, HDFC","HUNTS POINT",NA
"648 GRAND STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1920
"65 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"65 JAVA STREET","Income-restricted, HDFC",NA,NA
"65 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"65 NORTH 8 STREET","Income-restricted, HDFC",NA,NA
"65 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"65 W 90 ST","Limited-equity",NA,NA
"65 WEST 87 STREET","Income-restricted, HDFC",NA,NA
"651 MADISON STREET","Income-restricted, HDFC","BEDFORD STUYVESANT",1931
"654 GRAND STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1920
"655 RIVERSIDE DRIVE","Income-restricted, HDFC",NA,NA
"65-52 160TH ST FLUSHING","Limited-equity",NA,NA
"65-83 160TH ST FLUSHING","Limited-equity",NA,NA
"65-94 162ND ST FLUSHING","Limited-equity",NA,NA
"66 WEST 94 STREET","Limited-equity, Mitchell Lama",NA,NA
"660 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"664 WEST 161 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"666 BROADWAY","Income-restricted, HDFC",NA,NA
"668 BROADWAY","Income-restricted, HDFC",NA,NA
"67 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"67 JAVA STREET","Income-restricted, HDFC",NA,NA
"67 MALCOLM X BOULEVARD","Income-restricted, HDFC",NA,NA
"67 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"67 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"67 WEST 87 STREET","Income-restricted, HDFC",NA,NA
"671 KELLY STREET","Income-restricted, HDFC",NA,NA
"676 EAST 179 STREET","Income-restricted, HDFC",NA,NA
"676 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"678 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"68 AVENUE C","Income-restricted, HDFC",NA,NA
"680 WASHINGTON STREET","Income-restricted, HDFC",NA,NA
"682 6 AVENUE","Income-restricted, HDFC",NA,NA
"684 HEGEMAN AVENUE","Income-restricted, HDFC",NA,NA
"685 NOSTRAND AVENUE  X","Income-restricted, HDFC",NA,NA
"688 EAST 141 STREET","Income-restricted, HDFC",NA,NA
"689 BRISTOL STREET","Income-restricted, HDFC",NA,NA
"69 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"690 UNION AVENUE","Income-restricted, HDFC",NA,NA
"690 WASHINGTON STREET","Income-restricted, HDFC",NA,NA
"694 CLASSON AVENUE","Income-restricted, HDFC",NA,NA
"697 DAWSON STREET","Income-restricted, HDFC",NA,NA
"698 CLASSON AVENUE","Income-restricted, HDFC","CROWN HEIGHTS",1920
"699 10 AVENUE","Income-restricted, HDFC",NA,NA
"7 EAST 3 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"7 WEST 92 STREET","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"7.5 2 AVENUE","Income-restricted, HDFC",NA,NA
"70 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"70 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"70 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"70 WEST 108 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"700 COLUMBUS AVENUE","Limited-equity, Mitchell Lama",NA,NA
"700 OAKLAND PL","Income-restricted, HDFC",NA,NA
"701 AMSTERDAM AVENUE","Limited-equity, Mitchell Lama",NA,NA
"701 CROTONA PARK NORTH","Income-restricted, HDFC","CROTONA PARK",NA
"705 CROTONA PARK NORTH","Income-restricted, HDFC","CROTONA PARK",NA
"705 EAST 179 STREET","Income-restricted, HDFC","EAST TREMONT",NA
"71 AVENUE C","Income-restricted, HDFC",NA,NA
"71 CLIFTON PLACE","Income-restricted, HDFC",NA,NA
"71 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"713 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"715 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"719 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"719 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"72 CLINTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"72 MORNINGSIDE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"72 RICHARDSON STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1928
"72 WEST 88 STREET","Income-restricted, HDFC",NA,NA
"724 EAST 216 STREET","Income-restricted, HDFC","WILLIAMSBRIDGE",NA
"728 DRIGGS AVENUE","Income-restricted, HDFC",NA,NA
"729 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"73 CLIFTON PLACE","Income-restricted, HDFC",NA,NA
"730 57 STREET","Income-restricted, HDFC","SUNSET PARK",1931
"733 EAST 9 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"733 GRAND STREET","Income-restricted, HDFC",NA,NA
"74 5 AVENUE","Income-restricted, HDFC","GREENWICH VILLAGE-CENTRAL",NA
"74 RICHARDSON STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1928
"741 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"742 EAST 6 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"748 10 AVENUE","Income-restricted, HDFC",NA,NA
"749 JENNINGS STREET","Income-restricted, HDFC",NA,NA
"75 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"75 LINDEN STREET","Income-restricted, HDFC",NA,NA
"750 FAILE STREET","Limited-equity, Mitchell Lama","HUNTS POINT",NA
"755 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"759 40 STREET","Income-restricted, HDFC",NA,NA
"759 EAST 169 STREET","Income-restricted, HDFC",NA,NA
"759 JENNINGS STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"76 RICHARDSON STREET","Income-restricted, HDFC","WILLIAMSBURG-EAST",1928
"760 HUNTS POINT AVENUE","Income-restricted, HDFC",NA,NA
"762 10 AVENUE","Income-restricted, HDFC",NA,NA
"762 CAULDWELL AVENUE","Income-restricted, HDFC",NA,NA
"763 JENNINGS STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"765 GARDEN STREET","Income-restricted, HDFC","BELMONT",NA
"767 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1905
"77 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"773 CONCOURSE VILLAGE EAST","Limited-equity, Mitchell Lama","MELROSE/CONCOURSE",NA
"773 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1905
"775 GREENE AVENUE","Income-restricted, HDFC",NA,NA
"775 JENNINGS STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"78 EAST 127 STREET","Income-restricted, HDFC",NA,NA
"78 SOUTH 1 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1911
"783 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"785 EAST 181 STREET","Income-restricted, HDFC","EAST TREMONT",NA
"786 9 AVENUE","Income-restricted, HDFC","MIDTOWN WEST",NA
"789 MAC DONOUGH STREET","Income-restricted, HDFC",NA,NA
"79 DECATUR STREET","Income-restricted, HDFC",NA,NA
"79 HAMILTON PLACE","Income-restricted, HDFC","HARLEM-UPPER",NA
"79 HANSON PLACE","Income-restricted, HDFC",NA,NA
"79 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"795 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"8 MORNINGSIDE AVENUE","Income-restricted, HDFC",NA,NA
"8 WEST 119 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"80 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"800 RIVERSIDE DRIVE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"801 TILDEN STREET","Limited-equity, Mitchell Lama","WILLIAMSBRIDGE",NA
"805 EAST 182 STREET","Income-restricted, HDFC",NA,NA
"805 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"81 HILLSIDE AVENUE","Limited-equity, Mitchell Lama",NA,NA
"810 EAST 178 STREET","Income-restricted, HDFC","EAST TREMONT",NA
"8100 SHORE FRONT PARKWAY","Limited-equity, Mitchell Lama",NA,NA
"811 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"812 10 AVENUE","Income-restricted, HDFC","CLINTON",NA
"815 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"820 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"821 PROSPECT PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1900
"823 EAST 147 STREET","Income-restricted, HDFC","MOTT HAVEN/PORT MORRIS",NA
"827 10 AVENUE","Income-restricted, HDFC",NA,NA
"827 FOX STREET","Income-restricted, HDFC",NA,NA
"829 ADEE AVENUE","Income-restricted, HDFC","BRONXDALE",NA
"829 SOUTHERN BOULEVARD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"83 2 AVENUE","Income-restricted, HDFC",NA,NA
"83 CLAY STREET","Income-restricted, HDFC",NA,NA
"83 HAMILTON PLACE","Income-restricted, HDFC","HARLEM-UPPER",NA
"831 FOX STREET","Income-restricted, HDFC",NA,NA
"834 RIVERSIDE DRIVE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"834 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"838 BECK STREET","Income-restricted, HDFC",NA,NA
"838 PARK PLACE","Income-restricted, HDFC",NA,NA
"840 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"84-14 WOODHAVEN BOULEVARD","Income-restricted, HDFC",NA,NA
"842 PARK PLACE","Income-restricted, HDFC",NA,NA
"848 PARK PLACE","Income-restricted, HDFC",NA,NA
"849 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"85 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"850 SOUTHERN BOULEVARD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"850 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"851 EAST TREMONT AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"851 FOX STREET","Income-restricted, HDFC",NA,NA
"854 INTERVALE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"855 EAST 233 STREET","Limited-equity, Mitchell Lama","WAKEFIELD",NA
"855 FRANKLIN AVENUE","Income-restricted, HDFC",NA,NA
"863 GRAND STREET","Income-restricted, HDFC",NA,NA
"87 STOCKHOLM STREET","Income-restricted, HDFC","BUSHWICK",1931
"870 RIVERSIDE DRIVE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"872 TRINITY AVENUE","Limited-equity, Mitchell Lama","MORRISANIA/LONGWOOD",NA
"874 DRIGGS AVENUE","Income-restricted, HDFC",NA,NA
"874 MANIDA STREET","Income-restricted, HDFC","HUNTS POINT",NA
"875 LONGFELLOW AVENUE","Income-restricted, HDFC",NA,NA
"88 16 STREET","Income-restricted, HDFC","GOWANUS",1912
"88 BROOKLYN AVENUE","Income-restricted, HDFC","CROWN HEIGHTS",1905
"883 EAST 165 STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"89 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"89 LEFFERTS PLACE","Income-restricted, HDFC","CLINTON HILL",1930
"89 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"892 FLUSHING AVENUE","Income-restricted, HDFC",NA,NA
"897 EMPIRE BOULEVARD","Income-restricted, HDFC","CROWN HEIGHTS",1931
"9 ARGYLE ROAD","Income-restricted, HDFC",NA,NA
"9 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"9 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"90 HAMILTON PLACE","Income-restricted, HDFC","HARLEM-UPPER",NA
"90 WADSWORTH AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"900 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"902 EAGLE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"906 EAGLE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"906 SIMPSON STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"91 HAMILTON PLACE","Income-restricted, HDFC",NA,NA
"91 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"914 SIMPSON STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"916 EAST 223 STREET","Income-restricted, HDFC",NA,NA
"919 OGDEN AVENUE","Income-restricted, HDFC",NA,NA
"92 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"92 WADSWORTH AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"920 METCALF AVENUE","Income-restricted, HDFC","SOUNDVIEW",NA
"924 HART STREET","Income-restricted, HDFC",NA,NA
"93 3 AVENUE","Income-restricted, HDFC",NA,NA
"936 KELLY STREET","Income-restricted, HDFC",NA,NA
"938 ST NICHOLAS AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"94 HESTER STREET","Income-restricted, HDFC",NA,NA
"940 KELLY STREET","Income-restricted, HDFC",NA,NA
"941 JEROME AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"941 PARK PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1905
"941 ROGERS PLACE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"942 COLUMBUS AVENUE","Income-restricted, HDFC",NA,NA
"943 AMSTERDAM AVENUE","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"943 TELLER AVENUE","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"944 KELLY STREET","Income-restricted, HDFC",NA,NA
"946 HOE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"95 SOUTH 10 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1915
"95 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"95 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"950 HOE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"951 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"952 ST MARKS AVENUE","Income-restricted, HDFC","CROWN HEIGHTS",1905
"962 ANDERSON AVENUE","Income-restricted, HDFC",NA,NA
"962 EAST 172 STREET","Income-restricted, HDFC",NA,NA
"964 ANDERSON AVENUE","Income-restricted, HDFC",NA,NA
"966 ANDERSON AVENUE","Income-restricted, HDFC",NA,NA
"968 ANDERSON AVENUE","Income-restricted, HDFC",NA,NA
"969 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"970 GLENMORE AVENUE","Income-restricted, HDFC",NA,NA
"971 KELLY STREET","Income-restricted, HDFC",NA,NA
"971 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"973 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"975 SUMMIT AVENUE","Income-restricted, HDFC",NA,NA
"975 UNION AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"976 SIMPSON STREET","Income-restricted, HDFC",NA,NA
"98 AVENUE C","Income-restricted, HDFC","ALPHABET CITY",NA
"98 HAMILTON PLACE","Income-restricted, HDFC","HARLEM-UPPER",NA
"98 VAN COURTLAND S","Limited-equity",NA,NA
"980 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"980 SIMPSON STREET","Income-restricted, HDFC",NA,NA
"982 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"983 AMSTERDAM AVENUE","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"985 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"986 LEGGETT AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"986 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"987 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"989 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"99 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"991 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"992 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"993 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
