year,TRTID10,hinc,prent,powner,pwht,pblk,pop,punemp,mrent,pcol,phs,str30old,hh10old,fhh,pov,pfb,pfb10,p18und,p60up
1970,36005008600,9533.332908,0.9208955223880597,0.0791044776119403,0.8231807031888806,0.16639411345715174,4891.99998177588,0.01758366420873511,93.94203302,0.014513491468621343,0.48262469517485906,82,1151,57,378,275,42,1921,578
1970,36005008700,4578.873227,0.9924853835358974,0.007514616458696838,0.5615977804389513,0.40236192648254354,14985.5384554747,0.06188602896861372,73.87085432,0.004404820309668949,0.41813080668521857,3675.006111,2897.029629,1003.355638,5742.957156,1208.211088,737.0906303,6676.02828383446,1037.2644340694
1970,36005008900,4944.444226,0.9847148580048054,0.01528512626545353,0.7440159574468074,0.18118350479584996,6003.98945679285,0.07191393168064585,80.83333579,0.004654255246631778,0.43134974746997695,1508.981445,1384.230957,377.2453613,1778.442383,190.6186829,34.93012619,2540.9169921875,300.399078369141
1970,36005009000,9615.891923,0.8075265176039622,0.19247348375164572,0.8381202625988318,0.15334112195418273,4210.28994100006,0.028554998231653982,94.50022996,0.010112793927889583,0.45616453543905056,90.41419268,928.6944199,62.72741294,388.6733494,317.2799892,54,1609.42765855789,476.132252693176
1970,36005009200,8271.42887,0.7694251421351863,0.23057485786481363,0.9831025580849555,0.0011734334767044873,4260.99996230053,0.030353200883002206,83.37278069,0.014315888415794745,0.6364703177645139,1406,825,37,422,720,294,975,1106
1970,36005009300,5686.77687,0.9038994067201943,0.09610059327980769,0.5952869722375757,0.36419881356804223,7478.85529691269,0.05109127082728827,83.77760424,0.012405102704460453,0.4156987938091797,1832.549904,1636.580452,403.7311616,1752.924646,429,200,3225.01019287109,533.596742630005
1970,36005009600,8847.6175,0.5085066162570888,0.4914933837429111,0.9818276218957351,0.018172377935022993,1926.00000534579,0.03785488958990536,102.0729336,0.029075804696036787,0.5456905488488333,407,289,18,148,593,39,548,429
1970,36005009800,9550.561151,0.5365313653136531,0.46346863468634686,0.9113107578898865,0.07394609600245218,4340.99996285612,0.03390742734122713,122.7801754,0.02464869866748406,0.5733701961062414,710,798,42,247,793,47,1233,703
1970,36005011502,4628.205,0.9611140304781923,0.03888596952180767,0.6299885038594191,0.30037773229162795,6088.99996030424,0.05266015200868621,81.41055563,0.006240762070575102,0.4220725926678424,1673,1704,401,2338,853,654,2589,397
1970,36005011700,5987.570422,0.8308405696179328,0.16915943038206874,0.2832424993190963,0.6603340818721782,1719.14460504055,0.0323320069529141,83.82461062,0.011764008810371696,0.5113292211851286,400.4500973,480.4195487,80.26883876,422.0753551,154,41,553.989807605743,151.403258115053
