"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"82",1970,36005014500,5330.19,0.03,0.3,0.65,6565,0.04,77.19,0.01,0.46,981,1711,381,1740,445,89,2815,611
"83",1970,36005014701,5702.65,0.01,0.38,0.58,7988.33,0.06,87.11,0,0.41,300.58,1879.52,325.41,2074.04,494.06,145.37,4008.39,618.23
"84",1970,36005014702,5702.65,0.01,0.38,0.58,7452.67,0.06,87.11,0,0.41,280.42,1753.48,303.59,1934.96,460.93,135.63,3739.61,576.77
"85",1970,36005014900,4951.92,0.04,0.21,0.75,6531,0.07,76.93,0.01,0.45,1776,1169,445,2588,675,296,2663,648
"86",1970,36005015100,4569.51,0.07,0.05,0.93,7811,0.09,71.2,0,0.47,1922,1536,517,2889,592,378,3122,835
"87",1970,36005015200,8699.25,0.46,0.99,0.01,2829.24,0.04,99.83,0.02,0.6,486.73,530.44,5.11,296.07,621.67,19.15,697.63,641.14
"88",1970,36005015300,3905.23,0.02,0.49,0.47,13745,0.07,79.36,0.01,0.37,3420,2952,1199,6899,1219,900,6975,659
"89",1970,36005015500,4264.08,0.01,0.55,0.41,7002,0.06,83.12,0,0.4,1595,1653,557,2734,416,165,3355,355
"90",1970,36005015700,3626.12,0.04,0.56,0.4,9711.97,0.07,81.41,0,0.38,2323.59,2487.78,879.19,4480.15,663.01,318.78,4694.29,430.81
"91",1970,36005015800,11395.83,0.68,1,0,980,0.01,122.88,0.01,0.56,146,198,5,49,136,38,287,150
"92",1970,36005015900,3193.13,0.01,0.62,0.37,6393,0.06,79.96,0,0.35,1368,1214,459,3757,158,83,3299,245
"93",1970,36005016000,10741.76,0.68,1,0,3694,0.02,126.19,0.02,0.54,520,628,22,185,254,41,1197,416
"94",1970,36005016100,4428.57,0,0.46,0.51,11095,0.06,79.28,0.01,0.43,3088,3413,853,3763,947,582,4646,525
"95",1970,36005016200,10012.35,0.64,1,0,1781,0.02,110,0.02,0.53,312,335,4,97,110,0,526,314
"96",1970,36005016400,9396.55,0.59,0.99,0,1311,0.01,101.71,0.05,0.58,345,186,4,75,224,0,355,281
"97",1970,36005016500,3355.93,0.01,0.55,0.43,6442.42,0.1,76.71,0,0.35,1566.25,1509.51,580.03,3040.63,201.75,128.79,3464.84,282.81
"98",1970,36005016600,12185.39,0.72,1,0,2152.76,0.02,119.2,0.02,0.59,167.27,332.56,10.89,103.93,452.33,14.85,641.37,303.86
"99",1970,36005016700,3690.84,0.02,0.62,0.36,6777.55,0.09,73.89,0,0.36,1448.15,1445.13,472.05,3030.27,216.01,148,3266.25,363.04
"100",1970,36005016900,3473.28,0.01,0.51,0.45,4347.6,0.09,69.94,0,0.4,1154.25,998.97,365.73,2100.84,50.51,18.71,2003.56,315.22
"101",1970,36005017300,5325.17,0.06,0.53,0.45,4937,0.05,82.16,0.01,0.46,1300,1279,350,1536,446,360,1981,479
"102",1970,36005017500,5608.3,0.02,0.43,0.55,7286.04,0.04,85.19,0.02,0.5,2022.02,1860.13,427.86,1819.65,845.81,569.93,2612.6,1022.57
"103",1970,36005017701,5866.92,0.08,0.38,0.6,5557.13,0.05,83.98,0.01,0.48,1392.15,1436.56,312.83,1385.16,533.11,275.82,2041.81,511.44
"104",1970,36005017702,5866.92,0.08,0.38,0.6,5853.68,0.05,83.98,0.01,0.48,1466.44,1513.22,329.53,1459.08,561.56,290.54,2150.77,538.73
"105",1970,36005017901,6116.56,0,0.65,0.33,5953.75,0.06,83.17,0.01,0.54,2019.33,1855.94,261.79,1013.77,1230.46,546.41,1694.3,891.36
"106",1970,36005017902,6116.56,0,0.65,0.33,4212.25,0.06,83.17,0.01,0.54,1428.67,1313.06,185.21,717.23,870.54,386.59,1198.7,630.64
"107",1970,36005018101,5781.79,0.04,0.58,0.4,2744.3,0.05,92.17,0.03,0.54,821.52,763.06,104.73,553.25,552.2,255.75,765.84,477.74
"108",1970,36005018102,5781.79,0.04,0.58,0.4,5142.7,0.05,92.17,0.03,0.54,1539.48,1429.94,196.27,1036.75,1034.8,479.25,1435.16,895.26
"109",1970,36005018301,6596.69,0.03,0.74,0.24,4263.91,0.03,118.77,0.07,0.55,864.63,1361.71,133.4,751.15,926.07,307.77,951.53,1152.47
"110",1970,36005018302,6596.69,0.03,0.74,0.24,3439.09,0.03,118.77,0.07,0.55,697.37,1098.29,107.6,605.85,746.93,248.23,767.47,929.53
"111",1970,36005018400,10223.35,0.56,1,0,4259,0.03,103.73,0.03,0.55,831,618,29,167,768,56,1145,798
"112",1970,36005018500,4470.46,0.03,0.18,0.78,12101,0.07,71.31,0.01,0.44,3236,2483,893,5060,292,41,5155,1074
"113",1970,36005018900,6549.83,0.05,0.75,0.24,8201.82,0.05,84.42,0.04,0.53,2918.1,2117.99,321.73,1230.65,1420.12,289.84,2280.26,1689.33
